product,store,region,price
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,blumenau_itoupava,1788.49
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,balneario_camboriu,1788.49
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,porto_belo,1788.49
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,itajai_saojoao,1788.49
Champagne Dom Pérignon Vintage Blanc 750ml,fort,blumenau_itoupava,1699.0
Champagne Dom Pérignon Vintage Blanc 750ml,fort,saojose_belavista,1699.0
Champagne Dom Pérignon Vintage Blanc 750ml,fort,palhoca_passavinte,1699.0
Champagne Dom Pérignon Vintage Blanc 750ml,fort,balneario_camboriu,1699.0
Champagne Dom Pérignon Vintage Blanc 750ml,fort,porto_belo,1699.0
Champagne Dom Pérignon Vintage Blanc 750ml,fort,itajai_saojoao,1699.0
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,saojose_belavista,1499.0
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,palhoca_passavinte,1499.0
Whisky Johnnie Walker Blue Label 21 Anos 750ml,fort,florianopolis_costeira,1499.0
Champagne Dom Pérignon Vintage Blanc 750ml,fort,florianopolis_costeira,1399.9
Whisky Escocês Blended Royal Salute The Blended Grain Garrafa 700ml,giassi,joinville_america,1289.0
Whisky Escocês Blended Royal Salute The Blended Grain Garrafa 700ml,giassi,sao_jose_areias,1289.0
Whisky Escocês Blended Royal Salute The Blended Grain Garrafa 700ml,giassi,joinville_bucarein,1289.0
Whisky Escocês Blended Royal Salute The Blended Grain Garrafa 700ml,giassi,jaragua_centro,1289.0
Whisky Escocês Blended Royal Salute The Blended Grain Garrafa 700ml,giassi,blumenau_victor_konder,1289.0
Whisky Escocês Chivas Royal Salute 700ml,fort,porto_belo,1230.95
Whisky Escocês Chivas Royal Salute 700ml,fort,balneario_camboriu,1230.95
Whisky Escocês Chivas Royal Salute 700ml,fort,saojose_belavista,1190.9
Whisky Escocês Chivas Royal Salute 700ml,fort,palhoca_passavinte,1190.9
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,florianopolis_costeira,1002.45
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,itajai_saojoao,1002.45
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,blumenau_itoupava,1002.45
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,balneario_camboriu,1002.45
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,balneario_camboriu,999.9
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,porto_belo,999.9
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,florianopolis_costeira,999.9
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,blumenau_itoupava,999.9
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,palhoca_passavinte,999.9
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,saojose_belavista,999.9
Vinho Português Flor do Tua Superior 17 com 5 Litros,fort,itajai_saojoao,999.9
Presunto Cru Haciendas com Osso 5kg,fort,porto_belo,978.0
Presunto Cru Haciendas com Osso 5kg,fort,palhoca_passavinte,978.0
Presunto Cru Haciendas com Osso 5kg,fort,blumenau_itoupava,978.0
Presunto Cru Haciendas com Osso 5kg,fort,itajai_saojoao,978.0
Presunto Cru Haciendas com Osso 5kg,fort,saojose_belavista,978.0
Presunto Cru Haciendas com Osso 5kg,fort,florianopolis_costeira,978.0
Presunto Cru Haciendas com Osso 5kg,fort,balneario_camboriu,978.0
Champagne Ruinart Blanc de Blancs 750ml,fort,porto_belo,918.05
Champagne Ruinart Blanc de Blancs 750ml,fort,blumenau_itoupava,918.05
Champagne Ruinart Blanc de Blancs 750ml,fort,itajai_saojoao,918.05
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,porto_belo,899.9
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,palhoca_passavinte,899.9
Vinho Português Palácio dos Tavoras Gold Edition Tinto 750ml,fort,saojose_belavista,899.9
Champagne Fra Perrier-Jouët Grand Brut 750ml,bistek,florianopolis_costeira,869.9
Champagne Fra Perrier-Jouët Grand Brut 750ml,bistek,palhoca_passavinte,869.9
Champagne Fra Perrier-Jouët Grand Brut 750ml,bistek,criciuma_centro,869.9
